A'damse code[1];CBS-code;Provincie;Gemeente;Alternatieve namen;Burgemeesters;Bestaan vanaf;Ontstaan uit;Bestaan tot;Opgegaan in;Opmerkingen
10961;1034;Noord-Holland;Buiksloot;;Lijst;;;01-01-1921;Amsterdam;
10199;;Friesland;Buitenpost;;Lijst;01-01-1812;;01-10-1816;Achtkarspelen;
10831;0900;Limburg;Bunde;;Lijst;;;01-01-1982;Meerssen;
11000;1035;Zeeland;Burgh;"Burg; Burgh c.a.; Burgh en Westenschouwen; Burgh en Westenschouwe; Burgt";Lijst;;;01-01-1961;Westerschouwen;
10039;;Friesland;Burum;;Lijst;01-01-1812;;01-10-1816;Kollumerland en Nieuwkruisland;
10281;0381;Noord-Holland;Bussum;;Lijst;;;01-01-2016;Gooise Meren;
11443;;Zeeland;Buttinge en Zandvoort;;Lijst;;;01-01-1816;Grijpskerke;
10460;0215;Gelderland;Buurmalsen;;Lijst;01-01-1818;Geldermalsen;01-01-1978;Geldermalsen;
11275;1310;Utrecht[2];Cabauw;;Lijst;01-04-1817;Polsbroek (Oud) (deels);08-09-1857;Willige Langerak;Viel tot 1 januari 1821 onder Zuid-Holland
11447;;Limburg;Cadier;;Lijst;;;05-08-1828;Cadier en Keer;
11447;0901;Limburg;Cadier en Keer;Kadier en Keer;Lijst;05-08-1828;"Cadier; Heer en Keer";01-01-1982;Margraten;
11002;0658;Zeeland[2];Cadzand;Kadzand;Lijst;;;01-04-1970;Oostburg;Viel van 14-02-1814 tot 28-04-1814 onder speciaal bestuur, daarna tot 19-09-1814 onder Brabant
10559;0382;Noord-Holland;Callantsoog;"Calandsoog; Calantsoog; Kallansoog; Kallantsoog; Kallensoog";Lijst;01-05-1817;Zijpe;01-01-1990;Zijpe;
11233;1036;Noord-Brabant;Capelle;"Cappelle; Kapelle";Lijst;;;01-01-1923;Sprang-Capelle;
10207;;Zeeland;Capelle en Botland;;Lijst;;;01-01-1813;Nieuwerkerk (Duiveland);
11063;;Utrecht;Catharijne;;Lijst;01-01-1818;Utrecht;01-08-1823;Utrecht;
11433;0760;Noord-Brabant;Chaam;Kaam;Lijst;;;01-01-1997;Alphen-Chaam;
10430;1037;Zuid-Holland;Charlois;;Lijst;;;28-02-1895;Rotterdam;
10833;1311;Zuid-Holland;Cillaarshoek;;Lijst;01-04-1817;Maasdam;01-01-1832;Maasdam;
10965;0659;Zeeland[2];Clinge;Klinge;Lijst;;;01-04-1970;Hulst;Viel van 14-02-1814 tot 28-04-1814 onder speciaal bestuur, daarna tot 19-09-1814 onder Brabant
10121;1038;Zeeland;Colijnsplaat;Kolijnsplaat;Lijst;;;01-04-1941;Kortgene;
11316;0314;Utrecht;Cothen;Koten;Lijst;;;01-01-1996;Wijk bij Duurstede;
11346;0611;Zuid-Holland;Cromstrijen;;Lijst;01-01-1984;"Klaaswaal; Numansdorp";01-01-2019;Hoeksche Waard;
10053;1039;Noord-Brabant;Cromvoirt;Kromvoort;Lijst;;;01-01-1933;Vught;
10023;0761;Noord-Brabant;Cuijk en Sint Agatha;"Cuijk c.a.; Cuyk; Cuyk en Sint Agatha; Kuik; Kuik en Sint Agatha";Lijst;;;01-01-1994;Cuijk;
11376;;Gelderland;Dalem;;Lijst;;;01-01-1818;Vuren (naamswijziging);
11004;0110;Drenthe;Dalen;;Lijst;;;01-01-1998;Coevorden;
10650;0065;Friesland;Dantumadeel;;Lijst;01-10-1816;"Dantumawoude; Rinsumageest; Veenwouden";01-01-2009;Dantumadiel (naamswijziging);
10650;;Friesland;Dantumawoude;;Lijst;01-01-1812;;01-10-1816;Dantumadeel;
11168;1312;Utrecht;Darthuizen;;Lijst;01-01-1818;Leersum;08-09-1857;Leersum;
10180;1663;Groningen;De Marne;;Lijst;01-01-1992;Ulrum (naamswijziging);01-01-2019;Het Hogeland;
10057;0217;Gelderland;Deil;Deil c.a.;Lijst;;;01-01-1978;Geldermalsen;
11400;;Overijssel;Delden;;Lijst;;;01-07-1818;"Ambt Delden; Stad Delden";
10908;1040;Zuid-Holland;Delfshaven;"Delfshaven met Schoonderloo; Delfshaven, Beukelsdijk en Schoonderloo";Lijst;;;30-01-1886;Rotterdam;
10245;0149;Overijssel;Denekamp;;Lijst;01-07-1818;Ootmarsum (deels);01-06-2002;Dinkelland (naamswijziging);
